;acceleration
426;-0,02123
427;0,01523
428;0,0517
429;0,08816
430;0,12463
431;0,16109
432;0,12987
433;0,09864
434;0,06741
435;0,03618
436;0,00495
437;0,0042
438;0,00345
439;0,00269
440;-0,05922
441;-0,12112
442;-0,18303
443;-0,12043
444;-0,05782
445;0,00479
446;0,0674
447;0,13001
448;0,08373
449;0,03745
450;0,06979
451;0,10213
452;-0,03517
453;-0,17247
454;-0,13763
455;-0,10278
456;-0,06794
457;-0,0331
458;-0,03647
459;-0,03984
460;-0,00517
461;0,0295
462;0,06417
463;0,09883
464;0,1335
465;0,05924
466;-0,01503
467;-0,08929
468;-0,16355
469;-0,06096
470;0,04164
471;0,01551
472;-0,01061
473;-0,03674
474;-0,06287
475;-0,08899
476;-0,0543
477;-0,01961
478;0,01508
479;0,04977
480;0,08446
481;0,05023
482;0,016
483;-0,01823
484;-0,05246
485;-0,08669
486;-0,06769
487;-0,0487
488;-0,0297
489;-0,01071
490;0,00829
491;-0,00314
492;0,02966
493;0,06246
494;-0,00234
495;-0,06714
496;-0,04051
497;-0,01388
498;0,01274
499;0,00805
500;0,03024
501;0,05243
502;0,02351
503;-0,00541
504;-0,03432
505;-0,06324
506;-0,09215
507;-0,12107
508;-0,0845
509;-0,04794
510;-0,01137
511;0,0252
512;0,06177
513;0,04028
514;0,0188
515;0,04456
516;0,07032
517;0,09608
518;0,12184
519;0,0635
520;0,00517
521;-0,05317
522;-0,03124
523;-0,0093
524;0,01263
525;0,03457
526;0,03283
527;0,03109
528;0,02935
529;0,04511
530;0,06087
531;0,07663
532;0,09239
533;0,05742
534;0,02245
535;-0,01252
536;0,0068
537;0,02611
538;0,04543
539;0,01571
540;-0,01402
541;-0,04374
542;-0,07347
543;-0,0399
544;-0,00633
545;0,02724
546;0,0608
547;0,03669
548;0,01258
549;-0,01153
550;-0,03564
551;-0,00677
552;0,0221
553;0,05098
554;0,07985
555;0,06915
556;0,05845
557;0,04775
558;0,03706
559;0,02636
560;0,05822
561;0,09009
562;0,12196
563;0,10069
564;0,07943
565;0,05816
566;0,03689
567;0,01563
568;-0,00564
569;-0,0269
570;-0,04817
571;-0,06944
572;-0,0907
573;-0,11197
574;-0,11521
575;-0,11846
576;-0,1217
577;-0,12494
578;-0,165
579;-0,20505
580;-0,15713
581;-0,10921
582;-0,06129
583;-0,01337
584;0,03455
585;0,08247
586;0,07576
587;0,06906
588;0,06236
589;0,08735
590;0,11235
591;0,13734
592;0,12175
593;0,10616
594;0,09057
595;0,07498
596;0,08011
597;0,08524
598;0,09037
599;0,06208
600;0,03378
601;0,00549
602;-0,02281
603;-0,05444
604;-0,0403
605;-0,02615
606;-0,01201
607;-0,02028
608;-0,02855
609;-0,06243
610;-0,03524
611;-0,00805
612;-0,04948
613;-0,03643
614;-0,02337
615;-0,03368
616;-0,01879
617;-0,00389
618;0,011
619;0,02589
620;0,01446
621;0,00303
622;-0,0084
623;0,00463
624;0,01766
625;0,03069
626;0,04372
