Node/Case;FX (kgf);FY (kgf);FZ (kgf);MX (kgfcm);MY (kgfcm);MZ (kgfcm)
 100/ 34 (C) (CQC);123,678;410,534;8809,960;140664,604;26874,008;60,873
 100/ 36 (C) (CQC);34,546;669,324;8972,648;245281,266;8800,611;80,209
 102/ 9 (C);-392,770;30,477;2793,459;-5736,823;-66478,451;16,749
 102/ 10 (C);-442,213;33,754;3140,688;-6335,547;-75346,245;19,260
 102/ 27 (C);-502,085;39,120;3572,195;-7368,760;-84838,023;21,295
 102/ 28 (C) (CQC);737,347;54,031;3177,525;-402,387;209745,525;120,541
 102/ 30 (C) (CQC);224,728;75,760;2963,486;3816,565;83503,884;78,117
 102/ 34 (C) (CQC);807,386;48,436;2678,135;655,869;221457,252;117,670
 102/ 36 (C) (CQC);294,767;70,166;2464,096;4874,821;95215,611;75,245
 106/ 9 (C);-28,423;204,159;-513,248;-83682,916;-6256,876;30,613
 106/ 10 (C);-35,500;220,072;-507,418;-91238,011;-7748,454;39,329
 106/ 27 (C);-35,333;263,777;-676,220;-107824,662;-7797,158;37,744
 106/ 28 (C) (CQC);149,688;577,867;-203,405;26946,725;30010,725;68,539
 106/ 30 (C) (CQC);61,420;909,995;-226,001;116052,324;12059,165;54,308
 106/ 34 (C) (CQC);153,756;538,665;-91,758;42720,179;30925,318;64,469
 106/ 36 (C) (CQC);65,489;870,793;-114,353;131825,778;12973,759;50,238
 108/ 9 (C);-1118,292;80,676;3156,282;-12517,832;-295730,382;8,958
 108/ 10 (C);-1470,218;89,020;3691,245;-13800,809;-382736,803;12,929
 108/ 27 (C);-1369,205;103,647;3995,409;-16085,442;-363815,239;10,638
 108/ 28 (C) (CQC);795,798;102,527;4274,287;-6498,036;163082,095;110,487
 108/ 30 (C) (CQC);-143,461;125,711;3729,650;-2087,824;-61101,426;61,340
 108/ 34 (C) (CQC);934,882;87,624;3750,787;-4182,208;201593,913;109,702
 108/ 36 (C) (CQC);-4,377;110,808;3206,151;228,004;-22589,607;60,555
 110/ 9 (C);-105,575;503,732;9808,464;-75000,631;-18457,788;3,887
 110/ 10 (C);-128,992;560,531;10829,229;-83802,794;-22767,105;4,667
 110/ 27 (C);-132,066;645,820;12599,477;-96057,354;-23027,574;4,886
 110/ 28 (C) (CQC);-2,522;930,104;10014,311;63458,108;1264,122;127,389
 110/ 30 (C) (CQC);-51,700;1307,064;9982,772;173357,126;-8197,927;102,650
 110/ 34 (C) (CQC);13,411;838,389;8204,144;77014,768;3988,129;126,779
 110/ 36 (C) (CQC);-35,768;1215,350;8172,606;186913,786;-5473,920;102,041
 112/ 9 (C);72,515;5,027;8487,576;-149,121;-136945,039;65,600
 112/ 10 (C);-127,094;13,385;10098,587;-1327,043;-203996,440;95,279
 112/ 27 (C);152,337;4,219;10694,811;140,562;-160827,365;77,737
 112/ 28 (C) (CQC);1645,222;102,598;9680,728;17954,597;275893,881;190,610
 112/ 30 (C) (CQC);843,884;182,528;9150,301;33012,039;70254,263;134,503
 112/ 34 (C) (CQC);1572,652;103,909;8322,251;17650,002;286081,704;185,033
 112/ 36 (C) (CQC);771,314;183,839;7791,823;32707,445;80442,086;128,926
 114/ 9 (C);-140,215;-222,268;10275,016;22585,696;-20629,061;-35,526
 114/ 10 (C);-164,339;-242,092;11413,698;24088,251;-24705,268;-45,092
 114/ 27 (C);-177,390;-286,460;13178,969;29254,756;-25947,850;-43,958
 114/ 28 (C) (CQC);118,098;497,939;10000,160;187890,895;31452,868;3,316
 114/ 30 (C) (CQC);-34,607;1058,415;10452,742;322072,686;355,058;-4,660
 114/ 34 (C) (CQC);141,251;539,904;8123,709;183480,405;34708,751;8,196
 114/ 36 (C) (CQC);-11,453;1100,380;8576,291;317662,195;3610,941;0,219
 116/ 9 (C);-8,126;-632,705;3265,042;28759,683;-1598,372;13,399
 116/ 10 (C);-14,313;-704,579;3663,725;33040,128;-2859,612;15,149
 116/ 27 (C);-8,913;-811,020;4177,288;36575,457;-1740,363;17,110
 116/ 28 (C) (CQC);192,428;-323,450;3253,664;115823,797;40123,108;110,279
 116/ 30 (C) (CQC);69,273;-95,261;3205,098;190830,568;14501,118;73,000
 116/ 34 (C) (CQC);192,402;-208,405;2667,922;110883,992;40105,262;107,908
 116/ 36 (C) (CQC);69,247;19,783;2619,356;185890,763;14483,272;70,628
 118/ 9 (C);-219,722;-182,572;1749,982;23647,820;-37089,300;11,906
 118/ 10 (C);-267,746;-200,122;1993,059;25780,831;-46832,378;10,205
 118/ 27 (C);-275,057;-234,938;2230,526;30470,561;-45962,201;16,133
 118/ 28 (C) (CQC);1164,417;-114,472;3240,025;32682,527;275760,845;216,975
 118/ 30 (C) (CQC);618,860;-67,402;2689,350;42781,284;151996,149;97,492
 118/ 34 (C) (CQC);1197,779;-80,364;2934,479;28224,569;280924,815;213,938
 118/ 36 (C) (CQC);652,223;-33,294;2383,804;38323,325;157160,120;94,455
 129/ 9 (C);-260,031;15,735;3408,381;-9650,878;-34788,535;-37,115
 129/ 10 (C);-290,373;19,691;3817,232;-11367,517;-39043,868;-47,652
 129/ 27 (C);-333,086;19,550;4362,772;-12193,542;-44506,265;-45,769
 129/ 28 (C) (CQC);-80,540;569,080;3909,977;137687,668;2077,841;53,114
 129/ 30 (C) (CQC);-171,240;1031,067;4474,727;258309,379;-17398,981;51,137
 129/ 34 (C) (CQC);-33,488;566,838;3296,425;139265,245;8316,718;58,057
 129/ 36 (C) (CQC);-124,188;1028,825;3861,175;259886,956;-11160,105;56,079
 ;;;;;;
Case 9 (C);CUS;;;;;
Sum of val.;0,000;-0,000;96304,035;-104526,162;-378042,118;97,876
Sum of reac.;0,000;-0,000;96304,035;62051648,339;-129334669,934;-0,000
Sum of forc.;0,000;-0,000;-96304,035;-62051648,339;129334669,934;-0,000
Check val.;0,000;-0,000;0,000;0,000;0,000;-0,000
Precision;9,27343e-14;2,01463e-29;;;;
 ;;;;;;
Case 10 (C);CU1;;;;;
Sum of val.;0,000;-0,000;112159,342;-123083,781;-478043,739;114,940
Sum of reac.;0,000;-0,000;112159,342;72476905,145;-146775933,190;-0,000
Sum of forc.;0,000;-0,000;-112159,342;-72476905,145;146775933,190;-0,000
Check val.;0,000;-0,000;0,000;0,000;0,000;-0,000
Precision;1,10237e-13;2,13069e-29;;;;
 ;;;;;;
Case 27 (C);CU2;;;;;
Sum of val.;0,000;-0,000;122040,930;-132075,064;-468283,463;123,762
Sum of reac.;0,000;-0,000;122040,930;78574950,158;-164999490,983;-0,000
Sum of forc.;0,000;-0,000;-122040,930;-78574950,158;164999490,983;-0,000
Check val.;0,000;-0,000;0,000;0,000;0,000;-0,000
Precision;1,16878e-13;2,61463e-29;;;;
 ;;;;;;
Case 28 (C) (CQC);CU3X;;;;;
Sum of val.;11923,849;8076,831;104131,692;2154588,615;2578459,148;1495,704
Sum of reac.;9414,661;5393,412;92214,616;61221559,428;-119380526,652;11174950,483
Sum of forc.;9414,661;5393,412;-92214,616;-57776228,669;125278090,789;11174950,483
Check val.;18829,322;10786,824;0,000;3445330,759;5897564,137;22349900,965
Precision;2,66728e-09;1,30588e-10;;;;
 ;;;;;;
Case 30 (C) (CQC);CU3Y;;;;;
Sum of val.;6422,586;14058,523;102477,110;3854982,103;1214512,397;1062,542
Sum of reac.;4592,020;11860,287;92214,616;63283897,294;-120891146,483;15477236,586
Sum of forc.;4592,020;11860,287;-92214,616;-55713890,802;123767470,957;15477236,586
Check val.;9184,041;23720,575;0,000;7570006,493;2876324,474;30954473,173
Precision;2,66728e-09;1,06707e-10;;;;
 ;;;;;;
Case 34 (C) (CQC);CU4X;;;;;
Sum of val.;11923,849;8076,831;88025,200;2171684,901;2630896,282;1479,606
Sum of reac.;9414,661;5393,412;76108,125;50903422,442;-96649172,596;11174950,483
Sum of forc.;9414,661;5393,412;-76108,125;-47458091,683;102546736,733;11174950,483
Check val.;18829,322;10786,824;0,000;3445330,759;5897564,137;22349900,965
Precision;2,66727e-09;1,30588e-10;;;;
 ;;;;;;
Case 36 (C) (CQC);CU4Y;;;;;
Sum of val.;6422,586;14058,523;86370,619;3872078,389;1266949,531;1046,444
Sum of reac.;4592,020;11860,287;76108,125;52965760,309;-98159792,428;15477236,586
Sum of forc.;4592,020;11860,287;-76108,125;-45395753,817;101036116,901;15477236,586
Check val.;9184,041;23720,575;0,000;7570006,493;2876324,474;30954473,173
Precision;2,66727e-09;1,06707e-10;;;;
